company,order,lag,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits
明豊エンタープライズ,"(1, 0, 1)",0,0.18232019596657326,0.12362642730041988,-31.89798670115143,0.19027237953875453,0.11628994647967045,0.5026729761555875,0.005447402400116312,5
明豊エンタープライズ,"(1, 0, 1)",1,0.17611627767384938,0.12317988765009824,-48.618477213379734,0.17780576430050737,0.1146477283587714,1.3390748520049733,1.5216194645832166e-18,5
明豊エンタープライズ,"(1, 0, 1)",2,0.1906287195046273,0.13712810999232075,-49.71486039932692,0.18025587541658353,0.12040772859189572,1.1383619781064074,7.886239983595722e-08,5
明豊エンタープライズ,"(1, 0, 1)",3,0.18357248903550472,0.1273608293336496,-31.08544634021523,0.1895999888502337,0.11733002601002517,0.28045590912611534,0.32785592870362557,5
明豊エンタープライズ,"(1, 0, 1)",6,0.1804980379432342,0.12424108192281316,-23.271840100626946,0.18975719417458553,0.11684633445978615,0.2524815241323058,0.3257541500517315,5
明豊エンタープライズ,"(1, 1, 1)",0,0.18608668591272431,0.1272894312243235,-23.40775226617408,0.1930159994394546,0.11911372382945559,0.40212312209515805,0.002482215087593937,5
明豊エンタープライズ,"(1, 1, 1)",1,0.18054477009561581,0.1252565296182518,-42.785626202631775,0.1801724647462829,0.11483062758756533,1.3012190779261312,2.5077995085162755e-31,5
明豊エンタープライズ,"(1, 1, 1)",2,0.19328947649001588,0.13951455274677713,-43.51212595178599,0.18194631110351697,0.12262591511426026,1.1519191735653156,2.5512044724178302e-09,5
明豊エンタープライズ,"(1, 1, 1)",3,0.1868606395156313,0.13039072342227478,-26.063501130123495,0.19135721558828633,0.11929097788769827,0.240929458240451,0.3227115053239905,5
明豊エンタープライズ,"(1, 1, 1)",6,0.20395879143628254,0.1557389655772623,-18.618739580932836,0.19129248452688663,0.1192364743048194,0.23868316265525658,0.27469782216091176,5
明豊エンタープライズ,"(2, 0, 1)",0,0.24838377196807704,0.17886640431762194,-2.967170442685435,0.19093843405468486,0.11754063850233318,0.6330338849383205,0.0006629962351707958,5
明豊エンタープライズ,"(2, 0, 1)",1,0.1741783361766169,0.12245638778811274,-46.88846360900654,0.17826011180833212,0.11619963388161324,1.3717636622301923,8.094870691859177e-25,5
明豊エンタープライズ,"(2, 0, 1)",2,0.18950584761694336,0.13625261155786567,-48.393319591276,0.18053064080557993,0.12059361518083686,1.1454946680864047,6.962723299298134e-08,5
明豊エンタープライズ,"(2, 0, 1)",3,0.18231104170000306,0.12801700784214226,-31.091242097265102,0.18931979823227277,0.11818007215150514,0.3864295976442228,0.17728997864268936,5
明豊エンタープライズ,"(2, 0, 1)",6,0.1832325376209782,0.1251005072429376,-22.179206449936505,0.18965983205726764,0.11699596843884302,0.23324408547403935,0.39121447533217024,5
明和地所,"(1, 0, 1)",0,0.09769758807317955,0.07269117270013771,-220.39192819243777,0.10083251742925829,0.0711605771869473,0.11310078578035139,0.2398651757142818,5
明和地所,"(1, 0, 1)",1,0.08936367848231419,0.06491628793446139,-253.96837483450335,0.09003293440607642,0.06316989825601964,0.8730636589903827,3.590708855882156e-25,5
明和地所,"(1, 0, 1)",2,0.09616949772558447,0.07105131430892678,-220.3958589844719,0.10071860867186408,0.0712681466117932,0.11017761362131655,0.31291737336849434,5
明和地所,"(1, 0, 1)",3,0.09586194307694718,0.07094441123695489,-217.89927783324,0.10074193077979594,0.07154345132035858,0.16261581840893152,0.128808030443213,5
明和地所,"(1, 0, 1)",6,0.0971782938342892,0.07118651452377904,-217.15042735941333,0.10123675112598567,0.07160734595030925,-0.06552885336167841,0.4764643201287998,5
明和地所,"(1, 1, 1)",0,0.09838958882988898,0.07310581773483772,-211.4807153384314,0.10312383345571524,0.07305696836145706,0.09253929323395688,0.3454558606900663,5
明和地所,"(1, 1, 1)",1,0.0889668592191916,0.06412005919282111,-246.11799391656078,0.09182106395904412,0.0648349730251858,0.8926707527577531,6.051889804453295e-29,5
明和地所,"(1, 1, 1)",2,0.09915039617399643,0.07367132075166063,-209.79616586315097,0.10412941725487006,0.07358260023979932,0.1136901357721694,0.3217071641228404,5
明和地所,"(1, 1, 1)",3,0.09762858983710562,0.07258415556882676,-206.45262094122918,0.10512299624584344,0.07454742689554618,0.11521502162040013,0.2777646718212191,5
明和地所,"(1, 1, 1)",6,0.09857710233321738,0.07243468318789918,-206.11496128714103,0.10382790852147658,0.0735306214450173,-0.058443533356712755,0.5553514514120577,5
明和地所,"(2, 0, 1)",0,0.0972382120767962,0.07219153714932607,-219.80377968462867,0.10083203120254743,0.07115940909931844,0.11476930404847363,0.23287204941465744,5
明和地所,"(2, 0, 1)",1,0.0896653111004232,0.06526243762706026,-257.68364624149325,0.08929118431532965,0.06467078731787453,0.9449759030600209,4.482642348354503e-28,5
明和地所,"(2, 0, 1)",2,0.09603741004884707,0.07097207149381612,-219.13053780350046,0.10070407063077458,0.07125432378703132,0.1318557284504136,0.2493183787645339,5
明和地所,"(2, 0, 1)",3,0.09731007754596406,0.07215962051129263,-217.02546084776955,0.10070017113081187,0.07170692063412411,0.18374801238519325,0.10530484621385824,5
明和地所,"(2, 0, 1)",6,0.09713578665268967,0.07114136623060488,-215.37379285237103,0.10122667029921802,0.07161999403564491,-0.06697741707776181,0.4654289270984757,5
